Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Website,Contact Email,Full Description,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Funding Status,New
BreachLock Inc.,https://www.crunchbase.com/organization/breachlock-inc,"Cyber Security, SaaS","New York, New York, United States","Built by industry leaders, BreachLock enables you to find and fix your next Cyber Breach before it happens.","139,379",12/18/18,day,https://www.breachlock.com,pr@breachlock.com,"BreachLock is a security startup that offers a unique SaaS platform delivering on-demand, continuous and scalable security testing suitable for modern cloud and DevOps powered businesses.   The BreachLock platform leverages both human powered penetration testing and AI-powered automated scans to create a  powerful and easy to use solution that delivers continuous and on-demand vulnerability management. BreachLocks’s modern SaaS-based approach redefines the old school and time-consuming pen test model into fast and comprehensive security as service.  As a result, CIO's and CISO's get a single pane view into their application and network security posture. The BreachLock platform facilitates collaboration between your DevOps and BreachLock security researchers empowering them to fix security gaps at the speed of business.",,,,,New
Velix.ID,https://www.crunchbase.com/organization/velix-id,"Blockchain, Cyber Security, Identity Management, Security","Melbourne, Victoria, Australia",A global platform for frictionless identity verification,"139,661",9/1/16,month,https://www.velix.id,info@velix.id,"Velix.ID is a RegTech blockchain startup catering to a $200 Billion a year target market in the identity verification space. As the contemporary methods of identity verification take too long to process, incur massive financial loss for both businesses & individuals, and often compromise the personal information of the user, Velix.ID is decentralizing the process using Smart Contracts, Zero Knowledge Proofs, and Stellar Consensus Protocol (SCP) to build an ecosystem that is universal, obscure, transparent, decentralized, time-efficient, and cost-efficient.  Working in synergy with government & industry, Velix.ID plans to integrate its ecosystem across all major vertical like cryptocurrency trading, real-estate, Travel & Hospitality, Banking & Insurance, Employment, Commerce, Transport. The initial target markets are India & Australia with over 1.3 Billion identities, to be followed with operations launch in Asia-Pacific and UK. ",,,,,New
Private AI,https://www.crunchbase.com/organization/private-ai,"Cloud Data Services, Cloud Security, Cyber Security, Machine Learning, Natural Language Processing, Security","Toronto, Ontario, Canada",Private AI performs secure keyword search using homomorphic encryption.,"139,751",1/1/17,year,http://www.priv-ai.com,info@priv-ai.com,Private AI is developing technology that will allow machine learning algorithms to be trained and executed on encrypted data. The company’s product brings together natural language processing and homomorphic encryption to allow systems to perform keyword and near-match searches on encrypted datasets without decrypting the underlying data. The founding team consists of three PhDs from the University of Toronto and Carnegie Mellon.,,,,,New
HRDN,https://www.crunchbase.com/organization/hrdn,"Cyber Security, Hardware, Software",,"Security beyond encryption for High Risk Data Networking in cyber, geo and space security","140,587",1/1/19,year,https://hrdnlabs.com,,"Security beyond encryption for High Risk Data Networking in geo, space and cybersecurity. Embodied in a hardware appliance and cloud service that immunizes networks and data -- in transit and at rest -- from man-in-the-middle hacks, brute force attacks and quantum decryption. Hack tested by leading cloud computing companies and now in stealth pilot deployments across industries.",,,,,New
Binaize,https://www.crunchbase.com/organization/binaize,"Computer, Cyber Security, Information Technology, Internet of Things",,Cyber Security for IoT,"141,700",2/15/19,day,https://www.binaize.com/,info@binaize.com,,,,,,New
The Chatbot Factory,https://www.crunchbase.com/organization/the-chatbot-factory,"Advertising, Cyber Security, Marketing","Paris, Ile-de-France, France","The Chatbot Factory is a technology startup specializing in the design, development & artificial intelligence algorithms.","141,799",1/1/16,year,https://www.thechatbotfactory.com,thomas@thechatbotfactory.com,"The Chatbot Factory is a technology startup specializing in the design, development and deployment of chatbots and artificial intelligence algorithms. Their proprietary technology enables the management, automation and contextualization of natural language conversations, combining multiple data sources and artificial intelligence. They work on B2B issues or B2C.",,,,,In Contact
"Marvelous, Inc",https://www.crunchbase.com/organization/marvelous-inc,"Artificial Intelligence, Cyber Security, Machine Learning, Natural Language Processing, Professional Services, Software",,AI powered Narrative Intelligence,"142,268",6/1/18,day,https://marvelous.ai,info@marvelous.ai,"MarvelousAI is an early stage startup founded by tech industry veterans. We are building an augmented analytics platform to provide actionable insights regarding online narratives. Our “Cyborg” intelligence methodology detects narratives and fine-grained emotional content, combining the power of human-in-the-loop learning with the latest in natural language processing, computational linguistics, and machine learning. The first use case centers on US electoral politics, specifically the 2020 race for President of the United States. Target customers are political campaigns, journalists, academics, and concerned citizens.  We are particularly focused on how messaging spreads among and between diverse online media, both negatively (propaganda) and positively (truth-based messages); which narratives persist over time; and the impact they have on overall discourse about a topic. Our StoryArc platform has been used to discover and quantify political bias, asymmetries in coverage of male vs. female candidates, and active misinformation campaigns. The second use case focuses more broadly on Misinformation Security and Responses. In collaboration with the Credibility Coalition, we are developing a standard framework to define the equivalent of the MITRE ATT&CK Matrix for Misinfosec. As a practical application of the framework, we address a broad spectrum of areas such as US immigration; health policy and impact; and climate change.   Our methods can be applied to detect narratives and fine grained sentiment related to any topic area, language, or source.",,,,,New
Securolytics,https://www.crunchbase.com/organization/securolytics,"Computer, Cyber Security, Network Security","Atlanta, Georgia, United States",Securolytics is a cloud-based threat detection and analytics platform purpose-built for IoT.,"142,428",1/1/16,year,https://securolytics.io,info@securolytics.io,Securolytics is a cloud-based threat detection and analytics platform purpose-built for IoT.,,,,,New
Delta Protect,https://www.crunchbase.com/organization/delta-protect,"Blockchain, Cyber Security, FinTech, Information Technology, Software","Mexico City, Distrito Federal, Mexico","We are a cybersecurity application provider, with a focus on proactive security trough security by design.","143,254",1/3/19,day,https://deltaprotect.co/,contact@deltaprotect.co,"We are an application security provider, with a focus on proactive security through security by design. We offer the highest standards in the market, assisting our clients in the following areas: Assessments and Audits: FinTech, APIs, Web/App, Blockchain, ICOs, Smart Contracts, Cloud Review and Code Review Monitoring: Finding reports, Bug Fixing and Anti-Phishing. Maturity and Consulting: Application Security Quotient, DevSecOps, Cyber Insurance and Compliance Management. We do not only offer a vulnerability analysis and penetration tests, we help you have a higher security quotient by managing the application posture by increasing your maturity. Our goal: restore digital privacy and security to our society.",,,,,New
Bluconyx,https://www.crunchbase.com/organization/bluconyx,"Apps, Cyber Security, Enterprise Applications, Information Technology, Social Entrepreneurship","Accra, Greater Accra, Ghana",a social enterprise tech company with the objective of solving societal challenges and problems through technology.,"143,454",1/1/18,year,http://www.bluconyx.org/,Info@bluconyx.org,"BluConyx is a social enterprise tech company that develops apps to address societal challenges such as health, agriculture, education, and security for NGO, the public and the private sectors. Our objective is solving societal challenges and problems through technology especially in areas where access to technology is limited or may not have access. We aim to provide free assistance to educational institutions, the health sector, and security agencies, in the developing countries and other countries.  Founded by Anthony Botchway and Aloysius Attiogbe, together with a team of professionals are committed to achieving results and impacting the lives of humanity through applications that seek to address most challenges in security, education, and health in developing countries and beyond. The BluConyx team is comprised of engineers and design experts and talented project and software experts with years of experience in developing app technology for modern day humanity’s challenges and to open a partnership opportunity to make the world a better place for all.",,,,,New
eclipso Mail & Cloud,https://www.crunchbase.com/organization/eclipso-mail-cloud,"Cloud Data Services, Cyber Security, Data Storage, Identity Management, Internet, Online Portals, Privacy, Professional Services, Security, Unified Communications","Bayreuth, Bayern, Germany","eclipso Mail & Cloud is the cloud based, GDPR compliant UCaaS solution for security conscious people.","144,468",12/1/17,day,https://www.eclipso.de,info@eclipso.net,"eclipso Mail & Cloud is the innovative, European, secure and independent brand for cloud and communication solutions. A brand that focuses on security, data protection, transparency, customer orientation, useful applications and an honest and sophisticated pricing model. Data security and data protection are attracting increasing attention in these uncertain times. This is our mission. We are a Germany based company and well positioned with a comprehensive portfolio of internet services focusing on communication, organization and identity management. With our own platforms, we are primarily focused on the DACH sector. In Germany, Austria (https://www.eclipso.at) and Switzerland (https://www.eclipso.ch) we are available under the country specific domain (TLD). For international guests, eclipso is also available in English on its own platform (https://www.eclipso.eu).  As an email provider and provider of cloud and communications services, we are aware of our responsibility. We therefore focus on sustainable business processes in our company. Our server systems and data centers are operated exclusively with 100 % green eco-power. ",,,,,New
Cloudbric Corporation,https://www.crunchbase.com/organization/cloudbric,"Cloud Security, Cyber Security, Information Technology, SaaS, Security, Web Apps","Seoul, Seoul-t'ukpyolsi, South Korea",Cloudbric is a decentralized universal security platform that provides a diverse suite of security services for free for personal use.,"144,552",12/1/17,day,https://www.cloudbric.io,support@cloudbric.com,"Cloudbric is a cloud-based web security provider, offering an award-winning Web Application Firewall (WAF), DDoS protection, and SSL. It uses a logic-based detection engine to filter malicious website traffic with proven precision thus delivering lower false positives than other industry competitors.  With its soon to launch reverse ICO, Cloudbric will expand its service offerings. For more information such as the upcoming token sale event and whitepaper concept overview, please visit the Cloudbric ICO homepage at https://www.cloudbric.io. Inquiries should be directed to ico@cloudbric.com or join the conversation today: http://t.me/cloudbric.",,,,,New
"Hacware, Inc.",https://www.crunchbase.com/organization/hacware-inc,"Artificial Intelligence, Cyber Security, Email, Enterprise Software, Machine Learning, SaaS, Software, Software Engineering","Dallas, Texas, United States",Hacware protects employees from getting email hacked.,"144,617",3/3/17,day,http://hacware.com/,tiffany@hacware.com,"Hacware is an A.I.-driven risk management system that identifies the employees that are most likely to be hacked based on their habits. The product will automate sending intelligent messages to the employees to simulate an email hack. Then, Hacware will provide real-time analytics and training recommendations on email security.",,,,,New
Amplify Intelligence,https://www.crunchbase.com/organization/amplify-intelligence,"Artificial Intelligence, Cloud Computing, Cyber Security, Enterprise Software, Internet of Things, Machine Learning, Network Security, SaaS, Security","Melbourne, Victoria, Australia",A world leading Cybersecurity SaaS company using AI and Machine Learning combined with Cyber Insurance to keep SME's safe.,"144,675",6/14/17,day,https://www.amplifyintelligence.com/,contact@amplifyintelligence.com,"We provide a Cyber Safety Solution to small businesses to neutralise cyber threats and protect business value. This enables us to be the linchpin of Cyber Insurance industry through reducing the frequency, duration and cost of Cyber Insurance claims giving insurers an unfair advantage. We do this by delivering world-class security complemented by cyber insurance, frictionless to their business with the support of top security and insurance professionals.  We bring the tools and capabilities that global banks use from our team's experience in building military and bank grade security devices leveraging our AI and machine learning and highly skilled team. We have built a SAAS platform that can integrate into businesses and identify cybersecurity risks from both the inside and the outside of the business.  We simplify the technobabble and communicate in a way that everyone can understand including prescriptive steps to fix issues before they impact you. If you need we can come and do it for you. We show you with real statistics inside the network of the reduced risk. All this with the knowledge that you have a safety net of a cyber insurance policy to help you if and when the hackers get in.",,,,,In Contact
PARSIQ,https://www.crunchbase.com/organization/parsiq,"Blockchain, Cryptocurrency, Cyber Security, Fraud Detection, Internet, Software","Ham, Shetland Islands, United Kingdom",Blockchain monitoring platform,"144,722",1/1/18,year,https://www.parsiq.io,info@parsiq.io,"PARSIQ is a blockchain monitoring and event tracking platform. It offers tools for analyzing, detecting, and preventing cryptocurrency fraud. PARSIQ is a brand new tool for Bitcoin / Ethereum / other Blockchain transaction tracking. The platform provides a transparent way of obtaining an analytical view of the transaction history of different blockchains. It also provides real-time monitoring of accounts, transactions, and related blockchain state. PARSIQ supports both B2B and B2C business models, offering services to enterprises and private users.",,,,,New
Collective Labs,https://www.crunchbase.com/organization/collective-labs-ff07,"Cyber Security, Information Technology, Internet, Internet of Things, Software","Talladega, Alabama, United States",Collective Labs is a Cybersecurity organization providing a world-wide web security auditing service for you & your peers.,"144,902",11/1/17,month,https://www.collectivelabs.us,cedatallc@gmail.com,"Ryan Jackson, now 17 started programming as early as age 13, and later on caught himself on a trial after helping Spotify by delivering to them a tool used to compromise millions of accounts. He is dedicated to helping better internet security and keeping Collective Labs on track as far as cybersecurity.",,,,,New
LockDown,https://www.crunchbase.com/organization/sekurx,"Apps, Cyber Security, Desktop Apps, Information Technology, Messaging, Mobile, Mobile Apps, Privacy, Security",,"LockDown enables businesses to protect and control sensitive data that is shared among employees, with external partners and other companies","144,976",1/9/16,day,https://www.getlockdown.com/,info@getlockdown.com,"LockDown enables businesses to protect and control digital information – from confidential documents to private communication – that is shared among employees, with external partners and other companies. Built upon our patented 8,000-bit encryption and leading-edge key handling technologies, LockDown empowers you to message and share documents privately and securely, while maintaining complete control – even after you click “send.”",,,,,New
AppSecure,https://www.crunchbase.com/organization/appsecure,"Cyber Security, Information Technology, Software","Bengaluru, Karnataka, India","End to end security resource, distinguishable penetration testing services alongside prominent vulnerability assessment.","144,983",5/6/16,day,https://appsecure.in,sales@appsecure.in,"AppSecure is a  Cyber Security Resource founded by a White hat hacker and ex flipster Anand Prakash. We offer distinguishable penetration testing services alongside prominent vulnerability assessment,unprecedented, security consulting and auditing . Encouraged by desire to offer eminent solutions, speedily and well planned, AppSecure was conceived and founded to recognize and rectify the weaknesses of the customers in the field of Security Testing. The professional penetration testing approach by a group of certified security researchers and domain experts at AppSecure is unique because of our intrinsic desire to see if your applications can be broken into past the normally-presented boundaries. Our team provides all-inclusive reports that assist you in getting your vulnerabilities affixed. Our competitive pricing strategy ensures a healthy work environment for both businesses and the AppSecure team. We conduct penetration tests that would help you determine the weaknesses in your applications, networks, infrastructure, mobile or web services and cloud security. A thorough vulnerability assessment is done through software testing and network security scanning. Content Management Systems (CMS) like Wordpress, Magento, Drupal, Vbulletin, and Joomla are extremely popular and make working with content a cakewalk. But keeping track of your CMS security isn’t just as simple. With AppSecure, you can keep checking your site for the latest vulnerabilities, thus making sure your CMS is secure. As the block chain environment is highly volatile, consistent changes in the security scene are to be expected as new bugs keep coming up and new accepted procedures are standardized. We at AppSecure specialize in application and network security of block chain-based platforms. Red Teaming covers a multi-layered attack simulation aimed at measuring how well your company’s applications, networks, and physical security controls can resist an attack from a real-life adversary. AppSecure’s well-executed red team operation considers the scale of your organization along with threats in your particular industry and designs tailor-made specific tests. This includes application penetration testing, network penetration testing and social engineering. ",,,,,New
Bitwoke,https://www.crunchbase.com/organization/bitwoke,"Artificial Intelligence, Cyber Security, Health Care, Internet of Things, Mobile Devices","Hobart, Tasmania, Australia",Secure A.I. based edge analytics powering smart connected devices ,"145,145",11/1/17,day,http://www.bitwoke.com,info@bitwoke.com,,,,,,New
NeuroMesh,https://www.crunchbase.com/organization/neuromesh,"Computer, Cyber Security, Information Technology, Messaging, Security","Cambridge, Massachusetts, United States",NeuroMesh provides endpoint security for IoT devices.,"146,516",12/6/16,day,http://www.neuromesh.co,info@neuromesh.co,Neuromesh is a Managed Security and Intelligence company specifically designed for Internet of Things (IoT) technology. IoT has unique security challenges that are posing personal privacy and national security threats. Our technology acts as a vaccine for IoT devices using hacker tools to defeat hackers using blockchain.,,,,,In Contact
mlytics,https://www.crunchbase.com/organization/mlytics,"Artificial Intelligence, Big Data, Cyber Security, Information Technology, Internet, Robotics, Software","Hong Kong, Hong Kong Island, Hong Kong",Our mission is to help deliver websites safer and faster,"146,920",1/1/17,year,https://mlytics.com,marketing@mlytics.com,"We merged multiple CDN providers into one single comprehensive platform so our automated, predictive, cost-effective, and security-centric AI platform can help businesses deliver websites/applications across the network safer and faster while saving time and money.",,,,,New
PhishCloud,https://www.crunchbase.com/organization/phishcloud,"Cyber Security, SaaS, Security, Software","Seattle, Washington, United States",Manage Phishing by Empowering People with Artificial Intelligence,"149,189",6/1/18,month,https://www.phishcloud.com,info@phishcloud.com,At PhishCloud we believe that people are the most important part of cyber security. So we empower people with simple interactive security products.,,,,,New
KIProtect,https://www.crunchbase.com/organization/kiprotect,"Big Data, Cyber Security, Machine Learning, Privacy, Security","Berlin, Berlin, Germany",Building the security layer for data science and AI,"149,446",1/1/18,year,https://kiprotect.com,info@kiprotect.com,"KIProtect offers security and privacy solutions for today's data science and machine learning workflows and infrastructure. We are focused on allowing data science teams to operate in a fast and agile way, while still preserving the privacy of their users.  Our initial pseudonymization API offers fast, distributed and secure pseudonymization with an approach that preserves data utility. Interested to learn more? Feel free to reach out at info (at) kiprotect (dot) com.",,,,,In Contact
Agnostiq Labs,https://www.crunchbase.com/organization/agnostiq-labs,"Cyber Security, Quantum Computing","Toronto, Ontario, Canada",Agnostiq Labs provides enterprise-level security solutions for users of quantum cloud services.,"149,653",8/1/18,month,http://www.agnostiqlabs.com,contact@agnostiqlabs.com,,,,,,New
Segurazo,https://www.crunchbase.com/organization/segurazo,"Cyber Security, Information Technology",,Segurazo is an industry leader in the fight against cybercrime and malware.,"150,681",1/1/18,month,http://segurazo.com/index.html,,Segurazo is an online security firm that offers solutions for both people and businesses to protect against malware and cyber-security threats. Your optimum is always guaranteed with Segurazo.,,,,,New
SIRP,https://www.crunchbase.com/organization/sirp,"Cyber Security, Network Security, Security","Chicago, Illinois, United States","Security Automation, Orchestration & Response (SOAR), Incident Management, Vulnerability Management, Threat Intelligence, Risk Management","151,143",9/1/17,day,https://www.sirp.io,info@sirp.io,,,,,,New
Hivecode.io,https://www.crunchbase.com/organization/hivecode-io-software-leak-detection,"Cyber Security, Machine Learning, SaaS, Security, Software","Minsk, Minsk, Belarus",SaaS which empowers companies to know that their source code is being used only by themselves. Check your developers don't use your code.,"153,653",10/26/18,day,https://hivecode.io,info@hivecode.io,"Nowadays source code becomes the most valuable asset of the companies worldwide.  Companies sign NDAs with their employees, but it doesn't work, as it's very hard to know who and how using your source code.  There is no reason to trust your employees unless you check them. Hivecode helps companies to keep an eye on their digital assets and track web applications and software usage. No longer worries about copying web design of your web site, you will know in seconds about it.",,,,,New
WoTT.io,https://www.crunchbase.com/organization/wott-io,"Blockchain, Cyber Security, Internet of Things","London, England, United Kingdom",Plug and play security tools for IoT developers,"153,714",1/1/18,year,https://www.wott.io,contact@wott.io,"WoTT is building the infrastructure for tomorrow’s connected devices.  WoTT is developing protocols and open-source software to decentralize identification and authentication - delivering the security needed to safely step into the future.  Vehicle to vehicle communication, smart factories and telemedicine are only the beginning of the applications that will be available when connectivity stretches into new devices.  In an interoperable future, where any device can ‘talk’ to any other, trust is a requirement.   ",,,,,New
Spin Quantum Tech,https://www.crunchbase.com/organization/spin-quantum-tech,Cyber Security,"Bogotá, Distrito Especial, Colombia","Spin Quantum Tech, is an adaptative cybersecurity collection of quantum algorithms that solves the next cybersecurity trends and wave.","154,072",1/10/18,day,https://www.spinqtech.com,jean.bernier@spinqtech.com,"Spin Quantum Tech, is an adaptative cybersecurity collection of quantum algorithms that solves the next cybersecurity trends and wave.  It is based in AI and quantum computing, which allows it to learn from the environment and self-improvement. The problem is every security fingerprint behind a click will be broke in nanoseconds with the processing power associated to quantum computing. This mean our adaptative cybersecurity algorithms will provide dynamic protection and hardening able to run on any king of device or technology. Our target market are cybersecurity companies, solutions and cloud providers. Our multidisciplinary team have been working on AI solutions for 15 years, with customers in pharma, chemistry, Human Resources, health care and so on. Helping them to reinforce value proposition and raise up their profitability.",,,,,New
FortressSecure,https://www.crunchbase.com/organization/fortresssecure,"Cyber Security, Information Technology","San Jose, California, United States","Multi-cloud, elastic key management solution focused on securing data on-premise and in the cloud.","154,887",5/1/16,day,http://www.fortresssecure.cloud,contact@fortressSecure.cloud,,,,,,New
Think Cyber Security,https://www.crunchbase.com/organization/think-cyber-security,Cyber Security,"London, England, United Kingdom","Think Cyber Security Ltd, a UK company developing products that reinvent the delivery of end-user security education and awareness training.","155,282",12/1/16,day,https://www.thinkcyber.co.uk,Info@thinkcyber.co.uk,"Think Cyber Security was founded at the end of 2016 by Dr Mike Butler and Tim Ward, the ex-global heads of Information Security and Information Services respectively, from the cyber arm of BAE Systems (previously Detica). Their mission, to deliver pragmatic, user-oriented, solutions providing measurable security risk reduction.   Despite a $1bn security awareness market (predicted to grow to $10bn by 2027), 90% of successful cyber-attacks start with the human user. In a context where technical controls can never promise to be 100% and cyber risks involve people as much as computers, ThinkCyber offer the next generation in Security Awareness. Their RedFlags™ software product applies behavioural and learning science theory in a highly innovative approach, to provide context-sensitive just-in-time guidance – delivering secure behavioural change for their customers.",,,,,New
Cyberfense,https://www.crunchbase.com/organization/cyberfense,"Big Data, Compliance, Cyber Security, Insurance, InsurTech, Sales Automation","New York, New York, United States","Cyber Risk Assessment, Management & Insurance","156,347",1/1/17,year,https://www.cyberfense.com/,JFK@cyberfense.com,"Cyberfense is a multinational InsurTech software company with offices in London, New York, and Paris that is focused cyber risk management and risk transfer. It houses a core platform that adopts the company namesake; the Cyberfense platform, hosts a series of products that serve a bridge between enterprises looking to assess cyber risks in a non-invasive way while creating a market for risk management service providers remedy problems. Cyberfense serves as a sales tool for insurance brokers to engage complex and small supply-chains of enterprises while seamlessly offering the services to manage the risks that are ultimately transferred via insurance premium.",,,,,In Contact
CYBAVO,https://www.crunchbase.com/organization/cybavo,"Bitcoin, Blockchain, Cryptocurrency, Cyber Security, Financial Services, FinTech, Information Technology, Internet, Software","Singapore, Central Region, Singapore","Digital Asset Management Platform, Enterprise Cryptocurrency Vault","156,973",5/1/18,day,https://www.cybavo.com,info@cybavo.com,"CYBAVO Pte. Ltd. provides secure and usable cryptocurrency storage and digital asset management solutions for enterprises and financial institutions. CYBAVO's portfolio offers solutions for cryptocurrency exchanges, digital asset managers or custodians. The company was founded in 2018 by experts from cybersecurity, blockchain and digital currency industries. The company has developers and researchers with solid experience in the security and cryptocurrency fields.",,,,,New
Status Identity,https://www.crunchbase.com/organization/status-identity,"Apps, Computer, Consumer Electronics, Cyber Security","New York, New York, United States",Provides the best user experience for employees by seamlessly integrating behavior data into enterprise access controls.,"157,299",9/1/17,month,https://www.statusidentity.com/,info@statusidentity.com,"Status Identity was founded with the belief that security can only be effective if it is easy to use. Our mission is to provide the best user experience for employees by seamlessly integrating smart authentication into enterprise access controls. Status Identity protects organizations against data breaches by ensuring only legitimate users and updated devices have access to sensitive applications. The Status Identity service helps authenticate users to websites, apps, clients and other networked systems that can call the Status API.",,,,,New
Simuna Infosec Private Limited,https://www.crunchbase.com/organization/simuna-infosec-private-limited,"Cyber Security, Intrusion Detection, Network Security, Penetration Testing","Bangalore, Karnataka, India",Simuna Infosec is the ideal information security partner for your organization and your business.,"157,619",10/10/18,day,http://www.simunainfosec.com,info@simunainfosec.com,"We are a passionate about making information Security affordable and accessible to All. Simuna Infosec is well managed by group of information security geeks & experienced professionals with a strong technical and innovative minds. Our company includes members who interacts and collaborates greatly by means of young and dynamic minds. Between us we have decades of experience in security testing and are recognized by technological giants like Google, Microsoft, Oracle and many more.You can be assured of getting best in class service and support from us.   Simuna Infosec is the one step solution centre for all your information security needs. We offer services to achieve a high level of customer satisfaction by adopting contemporary methodologies driven by research and development. We provide the best service for making you secured from all potential threats.",,,,,In Contact
Velona Systems,https://www.crunchbase.com/organization/velona-systems,"Cyber Security, Information Technology, Security","Cork, Cork, Ireland",Velona Systems’ mission is to facilitate the total elimination of T-DoS and Toll Fraud from VoIP communications,"158,047",1/1/16,year,https://www.velonasystems.com,info@velonasystems.com,"Velona Systems’ mission is to facilitate the total elimination of T-DoS and Toll Fraud from VoIP communications. They provide real-time VoIP threat detection and protection via Cloud SaaS solutions to eliminate risk to key infrastructure, productivity loss, revenue loss, or brand damage. Thay are alarmed by the ever-growing attacks on Communications Infrastructure, and they fundamentally disagree with the prevailing Industry view that VoIP can be treated as just another IP Data subset in wider Cyber Security solutions. Velona’s view is that SIP attacks can get through most of the current equipment or Cyber security tools on the market today. They do not believe the issue of Toll Fraud should be buried, and it cannot just be controlled by Blacklists or CDR based Analytics, and they know that even the best and most disciplined followers of encryption and multi-factor authentication still need answers for insider threats.",,,,,New
SAAVHA Inc.,https://www.crunchbase.com/organization/saavha-inc,"Analytics, Cyber Security, Information Technology, Internet, SaaS",,SaaS that simplifies and improves secured interactions between organizations and customers at every touchpoint.,"158,225",10/5/16,day,https://www.saavha.com,contactus@saavha.com,"SAAVHA addresses increasing cybersecurity, fraud, and data rights regulation by simplifying and improving secure interactions between organizations and customers at every touchpoint.  The platform consists of three components: 1) Biometric based identity verification to simplify multifactor customer identity authentication online, over the phone, and in person.  2) An advanced consumer dashboard turning data subjects into data owners with one location for them to address their data rights across companies. 3) A data integrity audit engine that leverages blockchain technology to create immutability of data within legacy systems.  Through the SAAVHA platform, we aim to revolutionize and supplement existing customer identity and access management systems.  Replace the risk of social media one button login and improve customer security with an easy to use authentication and data protection platform.",,,,,New
Cyber2020,https://www.crunchbase.com/organization/cyber2020,Cyber Security,"Herndon, Virginia, United States","Cyber 20/20 is an innovative, disruptive technology company that designs, builds and deploys a deep machine learning platform.","158,807",1/1/16,year,http://www.cyber2020.com,,Cyber 20/20 offers a revolutionary new automated design approach to malware detection by removing the human in the loop risk and time factors. Their platform leverages cutting-edge machine learning algorithms accelerated with high-performance computing to analyze large amounts of malware yielding an extremely high detection and low false positive rate. They have developed targeted malware detection engines for several industries by training on a large data set of millions of unique malware variants attacking institutions in those industries.,,,,,New
Securely Ltd,https://www.crunchbase.com/organization/securely-ltd,"Cyber Security, IT Management, Management Information Systems, Security","Herzliya, Tel Aviv, Israel",Secure-ly offers a digital certificate life cycle management solution for SMB and enterprise,"159,270",4/1/16,day,http://www.secure-ly.com,info@secure-ly.com,"Securely Ltd is an IT consulting and services firm specializing in PKI solutions and products.  Securely Ltd, helps organizations to reduce the risk of service outage and access denial. due to invalid or expired certificates. As well as to maintain continuous compliance with PKI security policies to improve flexibility and to achieve strategic objectives with greater certainty. Among our clients are government agencies, security organizations, telecommunication providers and financial companies. All of which use our innovative C-View solutions to improve the security of their systems that use encryption and digital certificates.",,,,,New
4Securitas,https://www.crunchbase.com/organization/4securitas,"Artificial Intelligence, Cyber Security, Information Technology, Security",,4Securitas simplify security - monitoring and protecting critical servers for enterprises large and small.,"159,599",1/1/17,year,https://www.4securitas.com/,,"Take charge of your server security with ACSIA (Automated Cybersecurity Interactive Application) real  time threat intelligence. Enable governance and control at scale. ACSIA is a security solution enabling teams charged with the management of business critical servers to maintain optimal technical and security controls over server infrastructure. Using a combined approach based on log analysis, AI and machine learning, ACSIA does the grunt work of security analysis - monitoring, analysing, profiling and mitigating cybersecurity incidents. From detecting scans that may indicate an emerging a hack, through to full blown attempts at malware injection, the system automates the maintenance of a robust security posture while engaging the human factor for higher order leaving decision making. The system can be configured to make most actions automatically, while at the same  me informing security teams as to when to engage directly. An intuitive and easy to understand interface means that a CISO, with one glance at a mobile dashboard",,,,,New
"Parassure, Inc.",https://www.crunchbase.com/organization/parassure-inc,"Cloud Security, Cyber Security, Internet, Machine Learning, SaaS","Austin, Texas, United States","Parassure is a channel-only, subscription insurance/tech company helping Service Providers protect their customers with cyber insurance","160,489",1/1/18,day,https://www.parassure.com,info@parassure.com,"Cyber security is the #1 risk on buyers minds, especially for Cloud, Software, and Services.  Parassure provides an easy to integrate service to help you protect your customers from the inevitable data breach. Parassure is a channel-only, subscription-based insurance/technology company that helps Service Providers protect their customers.  We bundle monitoring and cyber insurance into an easy to use and affordable security package to help you grow your security services.",,,,,New
Educhain,https://www.crunchbase.com/organization/educhain,"Blockchain, Cyber Security",,"Educhain enables instant issuance and authentication of digital records for institutions, corporates, and governments.","161,642",1/1/16,year,https://educhain.io,hello@educhain.io,,,,,,New
Quantum1Net,https://www.crunchbase.com/organization/quantum1net,"Consumer Software, Cyber Security, Enterprise Software","Puerto De La Cruz, Canarias, Spain","Decentralized Service Platform, Quantum Protected -","162,762",11/1/17,day,http://quantum1net.com,matt@Quantum1net.com,"Quantum1Net is launching a global Quantum Safe, Decentralized Service Platform during 2019. With a focus on Green, Secure and Fast, Quantum1Net is ready to go Internet of Everything.",,,,,New
pH Networks,https://www.crunchbase.com/organization/ph-networks,"Cyber Security, Internet of Things, Machine Learning, Network Security, Smart Home","San Francisco, California, United States",Cyber Security for Homes - Simplified,"162,797",1/1/19,year,https://www.ph-networks.com,support@ph-networks.com,pH Networks utilizes Machine Learning to create an affordable and effective home cybersecurity solution.  We protect all connected devices in homes by focusing on the single network entry point - the Router.,,,,,In Contact
